Date,open,high,low,close,adjclose,volume,company,adjclose_normalized,daily_return
2016-01-04,0.8072500228881836,0.8144999742507935,0.8009999990463257,0.809249997138977,0.7895450592041016,358076000,NVIDIA,100.0,
2016-01-05,0.8245000243186951,0.8360000252723694,0.8125,0.8222500085830688,0.8022283911705017,490272000,NVIDIA,101.6064101495595,0.016064101495594896
2016-01-06,0.8087499737739563,0.8125,0.7789999842643738,0.7882500290870667,0.769056499004364,449344000,NVIDIA,97.40501698276842,-0.04134968611337453
2016-01-07,0.7684999704360962,0.7737500071525574,0.746999979019165,0.7570000290870667,0.7385673522949219,645304000,NVIDIA,93.54340752121638,-0.03964487231941216
2016-01-08,0.7667499780654907,0.7674999833106995,0.7392500042915344,0.7407500147819519,0.7227129936218262,398472000,NVIDIA,91.53537029923976,-0.021466368129909985
2016-01-11,0.7415000200271606,0.7472500205039978,0.7287499904632568,0.7419999837875366,0.7239325046539307,409372000,NVIDIA,91.68982773240182,0.0016874070936416796
2016-01-12,0.7552499771118164,0.765500009059906,0.7492499947547913,0.7544999718666077,0.7361280918121338,469356000,NVIDIA,93.23446245793563,0.016846304151010738
2016-01-13,0.7602499723434448,0.765250027179718,0.7307500243186951,0.7315000295639038,0.7136884331703186,481672000,NVIDIA,90.39236264612308,-0.03048336137610952
2016-01-14,0.7164999842643738,0.7250000238418579,0.6955000162124634,0.7167500257492065,0.6992972493171692,600236000,NVIDIA,88.56964414698429,-0.02016451883523107
2016-01-15,0.6880000233650208,0.6962500214576721,0.6660000085830688,0.6777499914169312,0.6612468957901001,841452000,NVIDIA,83.75036840287089,-0.054412273985380954
2016-01-19,0.6917499899864197,0.7112500071525574,0.6804999709129333,0.6832500100135803,0.6666131019592285,457140000,NVIDIA,84.43002640421888,0.008115283721243927
2016-01-20,0.6702499985694885,0.6957499980926514,0.6612499952316284,0.6869999766349792,0.6702716946601868,481180000,NVIDIA,84.8934062529442,0.005488330022625387
2016-01-21,0.6945000290870667,0.7057499885559082,0.6802499890327454,0.6949999928474426,0.6780769228935242,481456000,NVIDIA,85.88197912061631,0.011644872214534585
2016-01-22,0.7082499861717224,0.7160000205039978,0.7067499756813049,0.7112500071525574,0.6939314603805542,257996000,NVIDIA,87.8900389903104,0.023381620803986092
2016-01-25,0.7110000252723694,0.7192500233650208,0.7089999914169312,0.7105000019073486,0.6931998133659363,270728000,NVIDIA,87.79737207965232,-0.0010543505466904524
2016-01-26,0.7120000123977661,0.7204999923706055,0.7047500014305115,0.7174999713897705,0.7000289559364319,227944000,NVIDIA,88.66231860688153,0.009851622055891296
2016-01-27,0.7164999842643738,0.71875,0.6955000162124634,0.7089999914169312,0.6917360424995422,231700000,NVIDIA,87.61197786442291,-0.011846529156492092
2016-01-28,0.7147499918937683,0.7172499895095825,0.6875,0.7012500166893005,0.6841748952865601,276776000,NVIDIA,86.65431913110069,-0.010930682729297203
2016-01-29,0.7072499990463257,0.7337499856948853,0.7045000195503235,0.7322499752044678,0.7144198417663574,310504000,NVIDIA,90.48499935982451,0.044206454648017424
2016-02-01,0.7315000295639038,0.7362499833106995,0.7252500057220459,0.7325000166893005,0.7146639227867126,289884000,NVIDIA,90.5159134941744,0.0003416492741183941
2016-02-02,0.7250000238418579,0.7287499904632568,0.6965000033378601,0.7014999985694885,0.6844186782836914,341908000,NVIDIA,86.68519551925479,-0.042320933712569286
2016-02-03,0.7070000171661377,0.7112500071525574,0.6887500286102295,0.7049999833106995,0.6878334283828735,326772000,NVIDIA,87.11769143058686,0.004989270760034303
2016-02-04,0.7059999704360962,0.7212499976158142,0.6982499957084656,0.7052500247955322,0.6880773901939392,348140000,NVIDIA,87.14859046645843,0.00035468152753082016
2016-02-05,0.7005000114440918,0.7082499861717224,0.6587499976158142,0.6607499718666077,0.6446610689163208,600428000,NVIDIA,81.64968691795366,-0.06309802050810187
2016-02-08,0.6507499814033508,0.6539999842643738,0.6212499737739563,0.6305000185966492,0.6151477098464966,608852000,NVIDIA,77.91166605064875,-0.04578120270150077
2016-02-09,0.6230000257492065,0.6637499928474426,0.6200000047683716,0.6372500061988831,0.6217333078384399,425372000,NVIDIA,78.74576638668049,0.01070571813327037
2016-02-10,0.6412500143051147,0.6597499847412109,0.6322500109672546,0.6357499957084656,0.6202696561813354,335800000,NVIDIA,78.5603872699294,-0.0023541470895184213
2016-02-11,0.6194999814033508,0.6389999985694885,0.6194999814033508,0.6324999928474426,0.6170988082885742,340144000,NVIDIA,78.15878284522972,-0.005112047415445797
2016-02-12,0.6424999833106995,0.6445000171661377,0.6187499761581421,0.6432499885559082,0.6275869011878967,340816000,NVIDIA,79.4871545166192,0.016995808059343975
2016-02-16,0.6524999737739563,0.6757500171661377,0.6504999995231628,0.6747499704360962,0.6583201289176941,485352000,NVIDIA,83.3796781125211,0.04897047352585826
2016-02-17,0.6832500100135803,0.6980000138282776,0.6804999709129333,0.6915000081062317,0.674662172794342,771468000,NVIDIA,85.44948320928424,0.024823855687832186
2016-02-18,0.7482500076293945,0.7745000123977661,0.7475000023841858,0.7509999871253967,0.7327133417129517,1068660000,NVIDIA,92.80196654660357,0.08604479583933244
2016-02-19,0.746999979019165,0.7677500247955322,0.7412499785423279,0.7609999775886536,0.7424697875976562,525628000,NVIDIA,94.03767130733496,0.013315501887676495
2016-02-22,0.7720000147819519,0.796750009059906,0.7705000042915344,0.7879999876022339,0.7688124179840088,449668000,NVIDIA,97.37410284841852,0.03547973375669211
2016-02-23,0.7817500233650208,0.7975000143051147,0.777999997138977,0.7900000214576721,0.7707639336585999,369380000,NVIDIA,97.62127248767361,0.0025383508758980433
2016-02-24,0.7867500185966492,0.796750009059906,0.7649999856948853,0.7954999804496765,0.776129961013794,336852000,NVIDIA,98.30090784130412,0.006961959584334876
2016-02-25,0.7985000014305115,0.8012499809265137,0.7829999923706055,0.797249972820282,0.7778372168540955,349616000,NVIDIA,98.51714069849184,0.0021997035626242223
2016-02-26,0.8009999990463257,0.8029999732971191,0.7839999794960022,0.7919999957084656,0.7727150917053223,361964000,NVIDIA,97.86839683149373,-0.0065850862337100136
2016-02-29,0.7902500033378601,0.8004999756813049,0.7835000157356262,0.7839999794960022,0.7676964998245239,323344000,NVIDIA,97.23276599291218,-0.00649475069746952
2016-03-01,0.7860000133514404,0.8187500238418579,0.7847499847412109,0.8187500238418579,0.8017240166664124,348700000,NVIDIA,101.5425284878089,0.04432417869518268
2016-03-02,0.8142499923706055,0.8264999985694885,0.812749981880188,0.8234999775886536,0.80637526512146,233812000,NVIDIA,102.13163336546289,0.005801558090261061
